date,season,competition,round,opponent,home_away,stadium,maccabi_score,opponent_score,maccabi_coach,opponent_coach,referee,crowd,maccabi_scorers,opponent_scorers,raw_home_team,raw_away_team,page,maccabi_scorers_parsed,opponent_scorers_parsed
04-10-1930,1930/31,ליגת ההתאחדות,,המעופפים רמלה,בית,,4,2,,,,,"רוברט מורגן )ע(, זליבנסקי31, מנחם חרש, שמואל בכ ר",",? ג'ון סנדר ס","מכבי ת""א",המעופפים רמלה,8,"[{""name"": ""מנחם חרש"", ""minute"": null}, {""name"": ""שמואל בכר"", ""minute"": null}]","[{""name"": ""גון סנדר ס"", ""minute"": null}]"
11-10-1930,1930/31,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,4,4,,,,,"יעקב זליבנסקי 20) פ, ,(75 אריה זליבנסקי ,(?) אברהם רזניק (90)","שמעון לאומי )לומק( ?) פ, 85 פ(, ,? ?","מכבי פ""ת","מכבי ת""א",8,"[{""name"": ""יעקב זליבנסקי"", ""minute"": 20}, {""name"": ""אריה זליבנסקי"", ""minute"": null}, {""name"": ""אברהם רזניק"", ""minute"": 90}]","[{""name"": ""שמ ון לאומי לומק"", ""minute"": null}]"
18-10-1930,1930/31,ליגת ההתאחדות,,המשטרה הבריטית,בית,,5,1,,,,,"מנחם חרש 2] ,[ אברהם רזניק, מרדכי פצנובסקי, חיים דליצקי",וו. ת'ומ ס,"מכבי ת""א",המשטרה הבריטית,8,"[{""name"": ""מנחם חרש"", ""minute"": 2}, {""name"": ""אברהם רזניק"", ""minute"": null}, {""name"": ""מרדכי פצנובסקי"", ""minute"": null}, {""name"": ""חיים דליצקי"", ""minute"": null}]","[{""name"": ""וו. תומ ס"", ""minute"": null}]"
25-10-1930,1930/31,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,2,1,,,,,"מנחם חרש 18) או 25 ,( מרדכי פצנובסקי או מנחם חרש 55) 14(",יוחנן סוקניק (77),"הפועל ת""א","מכבי ת""א",8,"[{""name"": ""מנחם חרש"", ""minute"": 18}]","[{""name"": ""יוחנן סוקניק"", ""minute"": 77}]"
01-11-1930,1930/31,ליגת ההתאחדות,,הפועל ירושלים,בית,,8,0,,,,,,,"מכבי ת""א",הפועל ירושלים,8,[],[]
08-11-1930,1930/31,ליגת ההתאחדות,,המעופפים רמלה,חוץ,,4,2,,,,,"מרדכי פצנובסקי 2] ,[ זליבנסק י51, מנחם חרש",ויקטור בליק 2] [,המעופפים רמלה,"מכבי ת""א",8,"[{""name"": ""מרדכי פצנובסקי"", ""minute"": 2}, {""name"": ""אריה זליבנסקי"", ""minute"": 51}, {""name"": ""מנחם חרש"", ""minute"": null}]","[{""name"": ""ויקטור בליק"", ""minute"": 2}]"
18-10-1930,1930/31,ליגה ב',,מכבי השרון,חוץ,,3,2,,,,,,,מכבי השרון,"מכבי ת""א מילואים )כרמל(",11,[],[]
28-11-1931,1931/32,ליגת ההתאחדות,,"מכבי פ""ת",בית,,6,2,,,,,,)הופסק (,"מכבי ת""א","מכבי פ""ת",15,[],[]
05-12-1931,1931/32,ליגת ההתאחדות,,הפועל חיפה,בית,,1,3,,,,,,,"מכבי ת""א",הפועל חיפה,15,[],[]
12-12-1931,1931/32,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,4,0,,,,,,,מכבי נס ציונה,"מכבי ת""א",15,[],[]
19-12-1931,1931/32,ליגת ההתאחדות,,"הפועל ת""א",בית,,1,1,,,,,שמואל בכר (30),אברהם נודלמן 15) או (5020,"מכבי ת""א","הפועל ת""א",15,"[{""name"": ""שמואל בכר"", ""minute"": 30}]","[{""name"": ""אברהם נודלמן"", ""minute"": 15}]"
26-12-1931,1931/32,ליגת ההתאחדות,,הפועל ירושלים,חוץ,,7,1,,,,,"חיים דליצקי ,9) ,(75 יעקב זליבנסקי ,16) 37 פ, ,(45 גדליה ,(39)",מזרחי )08פ (,הפועל ירושלים,"מכבי ת""א",16,"[{""name"": ""חיים דליצקי"", ""minute"": null}, {""name"": ""יעקב זליבנסקי"", ""minute"": null}, {""name"": ""גדליה"", ""minute"": null}]","[{""name"": ""מזרחי"", ""minute"": null}]"
02-01-1932,1931/32,ליגת ההתאחדות,,"מכבי פ""ת",בית,,3,1,,,,,,,"מכבי ת""א","מכבי פ""ת",16,[],[]
09-01-1932,1931/32,ליגת ההתאחדות,,מכבי חשמונאי,חוץ,,0,2,,,,,,"עקיבא צובנר ,27) ? (",מכבי חשמונאי,"מכבי ת""א",16,[],"[{""name"": ""קיבא צובנר"", ""minute"": null}]"
16-01-1932,1931/32,ליגת ההתאחדות,,מכבי חיפה,בית,,4,2,,,,,,,"מכבי ת""א",מכבי חיפה,16,[],[]
23-01-1932,1931/32,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,1,5,,,,,אברהם רזניק )51פ (,"מרדכי מאיר )03פ(, ?","הפועל ת""א","מכבי ת""א",16,"[{""name"": ""אברהם רזניק"", ""minute"": null}]","[{""name"": ""מרדכי מאיר"", ""minute"": null}]"
30-01-1932,1931/32,ליגת ההתאחדות,,"המשטרה הא""י",בית,,2,2,,,,,"מרדכי פצנובסקי ,(?) מנחם חרש (55)","מקלאוד ,(30) ? (60)","מכבי ת""א","המשטרה הא""י",17,"[{""name"": ""מרדכי פצנובסקי"", ""minute"": null}, {""name"": ""מנחם חרש"", ""minute"": 55}]","[{""name"": ""מקלאוד"", ""minute"": null}]"
20-02-1932,1931/32,ליגת ההתאחדות,,הפועל חיפה,חוץ,,0,5,,,,,"הפועל חיפה: וולטר טויסטר; מוקולה פא ל, אפרים דויטש; מזרחי ב', גדליהו פוקס )ב ' ,( יעקב ריקלין; מוניאק, שמואל אפשטין, ינה","ינה שטרן ,13) ,20 ,(59 שמואל אפשטיין ,(14) גדליהו פוקס )42פ (",הפועל חיפה,"מכבי ת""א",17,"[{""name"": ""ה ו ל חי ה: וולטר טויסטר; מוקולה א ל"", ""minute"": null}, {""name"": ""א רים דויטש; מזרחי ב"", ""minute"": null}, {""name"": ""גדליהו וקס ב"", ""minute"": null}, {""name"": ""י קב ריקלין; מוניאק"", ""minute"": null}, {""name"": ""שמואל א שטין"", ""minute"": null}, {""name"": ""ינה"", ""minute"": null}]","[{""name"": ""ינה שטרן"", ""minute"": null}, {""name"": ""שמואל א שטיין"", ""minute"": null}, {""name"": ""גדליהו וקס"", ""minute"": null}]"
18-03-1932,1931/32,ליגת ההתאחדות,,"המשטרה הא""י",חוץ,,0,9,,,,,,"אימרי 4] ,[ סידני ווב ,[3] ריינור, סידני פי ט","המשטרה הא""י","מכבי ת""א",17,[],"[{""name"": ""אימרי"", ""minute"": 4}, {""name"": ""סידני ווב"", ""minute"": null}, {""name"": ""ריינור"", ""minute"": null}, {""name"": ""סידני י ט"", ""minute"": null}]"
16-04-1932,1931/32,ליגת ההתאחדות,,מכבי חיפה,חוץ,,4,0,,,,,,,מכבי חיפה,"מכבי ת""א",18,[],[]
23-04-1932,1931/32,ליגת ההתאחדות,,מכבי נס ציונה,בית,,3,2,,,,,,,"מכבי ת""א",מכבי נס ציונה,18,[],[]
14-05-1932,1931/32,ליגת ההתאחדות,,מכבי חשמונאי,בית,,2,3,,,,,"בן-ציון אפשטיין ,(31) פנחס פידלר 73) ע (","מנחם חרש ,19) ,(80 יצחק גושציני (55)","מכבי ת""א",מכבי חשמונאי,18,"[{""name"": ""בן ציון אפשטיין"", ""minute"": null}]","[{""name"": ""מנחם חרש"", ""minute"": null}, {""name"": ""יצחק גושציני"", ""minute"": 55}]"
29-10-1932,1932/33,ליגת ההתאחדות,,מכבי חיפה,חוץ,,3,0,,,,,,,מכבי חיפה,"מכבי ת""א",22,[],[]
05-11-1932,1932/33,ליגת ההתאחדות,,מכבי נס ציונה,בית,,8,1,,,,,,,"מכבי ת""א",מכבי נס ציונה,22,[],[]
12-11-1932,1932/33,ליגת ההתאחדות,,מכבי חשמונאי,חוץ,,0,0,,,,,,,מכבי חשמונאי,"מכבי ת""א",22,[],[]
19-11-1932,1932/33,ליגת ההתאחדות,,"מכבי פ""ת",בית,,2,1,,,,,,,"מכבי ת""א","מכבי פ""ת",22,[],[]
26-11-1932,1932/33,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,1,1,,,,,,,מכבי נס ציונה,"מכבי ת""א",22,[],[]
10-12-1932,1932/33,ליגת ההתאחדות,,מכבי רחובות,בית,,3,2,,,,,,,"מכבי ת""א",מכבי רחובות,23,[],[]
17-12-1932,1932/33,ליגת ההתאחדות,,מכבי רחובות,חוץ,,4,0,,,,,,,מכבי רחובות,"מכבי ת""א",23,[],[]
11-02-1933,1932/33,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,0,3,,,,,,"יוסף בלקין ,15) ,(65 חיים מזרחי (75)","מכבי פ""ת","מכבי ת""א",24,[],"[{""name"": ""יוס בלקין"", ""minute"": null}, {""name"": ""חיים מזרחי"", ""minute"": 75}]"
04-03-1933,1932/33,ליגת ההתאחדות,,מכבי חשמונאי,בית,,2,0,,,,,"יעקב זליבנסקי, אמרה יעקב י",,"מכבי ת""א",מכבי חשמונאי,24,"[{""name"": ""יעקב זליבנסקי"", ""minute"": null}]",[]
11-11-1933,1933/34,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,0,4,,,,,,",? בן-ציון אפשטיין )53ע(, דבורקין 40) ע(, משה זימון (89)","הפועל ת""א","מכבי ת""א",26,[],"[{""name"": ""בן ציון אפשטיין"", ""minute"": null}, {""name"": ""דבורקין"", ""minute"": 40}, {""name"": ""משה זימון"", ""minute"": 89}]"
18-11-1933,1933/34,ליגת ההתאחדות,,הפועל ירושלים,בית,,7,2,,,,,,,"מכבי ת""א",הפועל ירושלים,26,[],[]
02-12-1933,1933/34,ליגת ההתאחדות,,הפועל חיפה,בית,,1,1,,,,,אברהם רזניק )02פ 88(,הקיצוני השמאלי (44),"מכבי ת""א",הפועל חיפה,27,"[{""name"": ""אברהם רזניק"", ""minute"": null}]",[]
09-12-1933,1933/34,ליגת ההתאחדות,,מכבי חשמונאי,בית,,3,1,,,,,"אריה זליבנסקי )52פ(, מנחם חרש ,(?) ג'רי בית הלוי ?) (",עקיבא צובנר )55פ (,"מכבי ת""א",מכבי חשמונאי,27,"[{""name"": ""אריה זליבנסקי"", ""minute"": null}, {""name"": ""מנחם חרש"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}]","[{""name"": ""קיבא צובנר"", ""minute"": null}]"
16-12-1933,1933/34,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,1,2,,,,,שמואל בכר ?) (,"דוד הופמן ,(20) אריה הופמן ?) (","מכבי פ""ת","מכבי ת""א",27,"[{""name"": ""שמואל בכר"", ""minute"": null}]","[{""name"": ""דוד הו מן"", ""minute"": null}, {""name"": ""אריה הו מן"", ""minute"": null}]"
23-12-1933,1933/34,ליגת ההתאחדות,,הפועל ירושלים,חוץ,,2,1,,,,,"ג'רי בית הלוי ,(6) מנחם חרש ?) (",אברהם קליינמן ?) (,הפועל ירושלים,"מכבי ת""א",28,"[{""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""מנחם חרש"", ""minute"": null}]","[{""name"": ""אברהם קליינמן"", ""minute"": null}]"
30-12-1933,1933/34,ליגת ההתאחדות,,מכבי נס ציונה,בית,,1,2,,,,,ג'רי בית הלוי ?) (,"אברהם שניידרוביץ )הקטן( ,(25) אברהם שניידרוביץ )קוצ'ה( ?) (","מכבי ת""א",מכבי נס ציונה,28,"[{""name"": ""גרי בית הלוי"", ""minute"": null}]","[{""name"": ""אברהם שניידרוביץ הקטן"", ""minute"": null}, {""name"": ""אברהם שניידרוביץ קוצה"", ""minute"": null}]"
06-01-1934,1933/34,ליגת ההתאחדות,,מכבי רחובות,חוץ,,1,1,,,,,אמרה יעקבי (20),פירציגר (1),מכבי רחובות,"מכבי ת""א",28,[],"[{""name"": ""ירציגר"", ""minute"": 1}]"
27-01-1934,1933/34,ליגת ההתאחדות,,"הפועל ת""א",בית,,2,3,,,,,"מנחם חרש ,(?) שמואל בכר (57)","אמנון חרל""פ ,10) ,30 43 (","מכבי ת""א","הפועל ת""א",28,"[{""name"": ""מנחם חרש"", ""minute"": null}, {""name"": ""שמואל בכר"", ""minute"": 57}]","[{""name"": ""אמנון חרל"", ""minute"": null}]"
03-02-1934,1933/34,ליגת ההתאחדות,,הפועל חיפה,חוץ,,2,2,,,,,"ג'רי בית הלוי ,(6) מנחם חרש (57)","ברוך ,(27) יוסף גייסט (40)",הפועל חיפה,"מכבי ת""א",29,"[{""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""מנחם חרש"", ""minute"": 57}]","[{""name"": ""ברוך"", ""minute"": null}, {""name"": ""יוס גייסט"", ""minute"": 40}]"
17-02-1934,1933/34,ליגת ההתאחדות,,"מכבי פ""ת",בית,,1,1,,,,,מנחם חרש (47),)הופסק ( יושה (20),"מכבי ת""א","מכבי פ""ת",29,"[{""name"": ""מנחם חרש"", ""minute"": 47}]",[]
24-03-1934,1933/34,ליגת ההתאחדות,,מכבי חשמונאי,חוץ,,0,1,,,,,,,מכבי חשמונאי,"מכבי ת""א",29,[],[]
14-04-1934,1933/34,ליגת ההתאחדות,,מכבי רחובות,בית,,5,0,,,,,,,"מכבי ת""א",מכבי רחובות,29,[],[]
29-12-1934,1934/35,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,2,2,,,,,"פרי נויפלד ,(15/10) ג'רי בית הלוי 25/20) 112(","יצחק בוקסר )?פ(, שקולניק",מכבי נס ציונה,"מכבי ת""א",33,"[{""name"": ""פרי נויפלד"", ""minute"": null}]","[{""name"": ""יצחק בוקסר"", ""minute"": null}, {""name"": ""שקולניק"", ""minute"": null}]"
09-02-1935,1934/35,ליגת ההתאחדות,,מכבי רחובות,חוץ,,1,1,,,,,רייך (90),המקשר השמאל י,מכבי רחובות,"מכבי ת""א",34,"[{""name"": ""רייך"", ""minute"": 90}]",[]
02-03-1935,1934/35,ליגת ההתאחדות,,"מכבי פ""ת",בית,,4,3,,,,,"פרי נויפלד, ג'רי בית הלוי, ,? ?",",? ,? יוש ה","מכבי ת""א","מכבי פ""ת",34,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}]",[]
07-12-1935,1935/36,ליגת ההתאחדות,,"הפועל ת""א",בית,,0,0,,,,,,,"מכבי ת""א","הפועל ת""א",37,[],[]
14-12-1935,1935/36,ליגת ההתאחדות,,הפועל חיפה,חוץ,,3,0,,,,,,"ג'רי בית הלוי 2] ,[ חיים רייך )ע (",הפועל חיפה,"מכבי ת""א",37,[],"[{""name"": ""גרי בית הלוי"", ""minute"": 2}, {""name"": ""חיים רייך"", ""minute"": null}]"
11-01-1936,1935/36,ליגת ההתאחדות,,"הכח ת""א",בית,,1,3,,,,,,,"מכבי ת""א","הכח ת""א",38,[],[]
18-01-1936,1935/36,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,3,1,,,,,"נתן פנץ 2] ,[ פרי נויפל ד",גאול מכלי ס,"מכבי פ""ת","מכבי ת""א",38,"[{""name"": ""נתן פנץ"", ""minute"": 2}, {""name"": ""רי נוי ל ד"", ""minute"": null}]","[{""name"": ""גאול מכלי ס"", ""minute"": null}]"
25-01-1936,1935/36,ליגת ההתאחדות,,מכבי נס ציונה,בית,,5,0,,,,,"פרי נויפלד 2] ,[ לאיוש הס, ,? ? )ע (",,"מכבי ת""א",מכבי נס ציונה,38,"[{""name"": ""פרי נויפלד"", ""minute"": 2}, {""name"": ""לאיוש הס"", ""minute"": null}]",[]
08-02-1936,1935/36,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,1,0,,,,,,פרי נויפלד (30),מכבי נס ציונה,"מכבי ת""א",38,[],"[{""name"": ""פרי נויפלד"", ""minute"": 30}]"
22-02-1936,1935/36,ליגת ההתאחדות,,"הכח ת""א",בית,,2,2,,,,,"פרי נויפלד, יוסף ליברמ ן","פולאק, זטל ר","מכבי ת""א","הכח ת""א",38,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""יוס ליברמ ן"", ""minute"": null}]","[{""name"": ""ולאק"", ""minute"": null}, {""name"": ""זטל ר"", ""minute"": null}]"
05-12-1935,1935/36,ליגת ההתאחדות,,הפועל חיפה,בית,,2,1,,,,,"פרי נויפלד ,(35) ריקלין )98ע (",יוליוס קליין )07פ (,"מכבי ת""א",הפועל חיפה,39,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""ריקלין"", ""minute"": null}]","[{""name"": ""יוליוס קליין"", ""minute"": null}]"
12-12-1935,1935/36,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,3,2,,,,,"נתן פנץ ,(43) פרי נויפלד ,(61) פריץ דוננפלד )57פ (","אמנון חרל""פ ,(9) יוחנן סוקניק (20)","הפועל ת""א","מכבי ת""א",39,"[{""name"": ""נתן פנץ"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""ריץ דוננ לד"", ""minute"": null}]","[{""name"": ""אמנון חרל"", ""minute"": null}, {""name"": ""יוחנן סוקניק"", ""minute"": 20}]"
19-12-1935,1935/36,ליגת ההתאחדות,,"מכבי פ""ת",בית,,1,0,,,,,גאול מכליס )66פ (,,"מכבי ת""א","מכבי פ""ת",39,"[{""name"": ""גאול מכליס"", ""minute"": null}]",[]
30-01-1937,1937,ליגת ההתאחדות,,"הכח ת""א",בית,,8,1,,,,,"נתן פנץ ,6) ,(15222 פרי נויפלד ,7) ,? ,(? גאול מכליס ,?) ,(? ג'רי בית הלוי ?) (",,"מכבי ת""א","הכח ת""א",43,"[{""name"": ""נתן פנץ"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}]",[]
06-02-1937,1937,ליגת ההתאחדות,,הפועל חיפה,חוץ,,2,0,,,,,,"פריץ דוננפלד ,?) 68 (",הפועל חיפה,"מכבי ת""א",43,[],"[{""name"": ""ריץ דוננ לד"", ""minute"": null}]"
13-02-1937,1937,ליגת ההתאחדות,,"מכבי פ""ת",בית,,5,2,,,,,"נתן פנץ ,(7) גאול מכליס ,10) ,(? ג'רי בית הלוי ,(?) פרי נויפלד ?) (","אריה הופמן ,(?) נחמיה איכילוב ?) (","מכבי ת""א","מכבי פ""ת",43,"[{""name"": ""נתן פנץ"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": null}]","[{""name"": ""אריה הו מן"", ""minute"": null}, {""name"": ""נחמיה איכילוב"", ""minute"": null}]"
27-02-1937,1937,ליגת ההתאחדות,,"הפועל ת""א",בית,,1,3,,,,,נתן פנץ (51),"אמנון חרל""פ ,47) ,(60 שלמה פוליאקוב (67)","מכבי ת""א","הפועל ת""א",43,"[{""name"": ""נתן פנץ"", ""minute"": 51}]","[{""name"": ""אמנון חרל"", ""minute"": null}, {""name"": ""שלמה וליאקוב"", ""minute"": 67}]"
09-10-1937,1937,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,1,0,,,,,)הופסק (,נתן פנ ץ,"הפועל ת""א","מכבי ת""א",43,[],"[{""name"": ""נתן נ ץ"", ""minute"": null}]"
30-10-1937,1937,ליגת ההתאחדות,,"הכח ת""א",בית,,3,0,,,,,"מילה גינזבורג ,(56) גאול מכליס )56פ(, נתן פנץ ?) (",)טכני(,"מכבי ת""א","הכח ת""א",44,"[{""name"": ""מילה גינזבורג"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": null}, {""name"": ""נתן פנץ"", ""minute"": null}]",[]
20-11-1937,1937,ליגת ההתאחדות,,הפועל חיפה,בית,,3,2,,,,,"נתן פנץ ,(5) גאול מכליס ,(7) צבי וולפוביץ' (65)","מנחם צימט ,(18) דוד בן-עמי (67)","מכבי ת""א",הפועל חיפה,44,"[{""name"": ""נתן פנץ"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": null}]","[{""name"": ""מנחם צימט"", ""minute"": null}, {""name"": ""דוד בן- מי"", ""minute"": 67}]"
27-11-1937,1937,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,5,2,,,,,80 שערים הובקעו במהלך העונה. לגבי 60 מתוכם נמסרה זהות מבקיע השערים. שער אחד,,"מכבי פ""ת","מכבי ת""א",44,"[{""name"": ""ש רים הובק ו במהלך ה ונה. לגבי 60 מתוכם נמסרה זהות מבקי הש רים. ש ר אחד"", ""minute"": null}]",[]
13-02-1937,1937,ליגה ב',,הפועל חיפה,חוץ,,3,2,,,,,,,הפועל חיפה,"מכבי ת""א",47,[],[]
05-02-1938,1938/39,ליגת ההתאחדות,,המעופפים רמלה,בית,,10,1,,,,,"ג'רי בית הלוי ,[3] גאול מכליס ,[3] פרי נויפלד 2] ,[ אברהם רזניק, מילה",גינזבורג,"מכבי ת""א",המעופפים רמלה,50,"[{""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": 2}, {""name"": ""אברהם רזניק"", ""minute"": null}, {""name"": ""מילה"", ""minute"": null}]","[{""name"": ""גינזבורג"", ""minute"": null}]"
12-03-1938,1938/39,ליגת ההתאחדות,,הפועל הרצליה,חוץ,,1,3,,,,,ג'רי בית הלוי (30),"רייך ,55) ,(65 מנחם ?) (",הפועל הרצליה,"מכבי ת""א",50,"[{""name"": ""גרי בית הלוי"", ""minute"": 30}]","[{""name"": ""רייך"", ""minute"": null}, {""name"": ""מנחם"", ""minute"": null}]"
19-03-1938,1938/39,ליגת ההתאחדות,,"הכח ת""א",בית,,3,2,,,,,"פרי נויפלד ,(9) נתן פ נץ ,20) 45 (","רוזנבאום )06פ, 07פ (","מכבי ת""א","הכח ת""א",50,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""נתן פנץ"", ""minute"": null}]","[{""name"": ""רוזנבאום"", ""minute"": 6}]"
26-03-1938,1938/39,ליגת ההתאחדות,,מכבי נס ציונה,חוץ,,6,1,,,,,"פרי נויפלד, 179?",חנוך,מכבי נס ציונה,"מכבי ת""א",50,"[{""name"": ""פרי נויפלד"", ""minute"": null}]","[{""name"": ""חנוך"", ""minute"": null}]"
02-04-1938,1938/39,ליגת ההתאחדות,,המשטרה,בית,,6,0,,,,,"פרי נויפלד ,(3) ג'רי בית הלוי, מילה גינזבורג, 181?",,"מכבי ת""א",המשטרה,51,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""מילה גינזבורג"", ""minute"": null}]",[]
30-04-1938,1938/39,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,0,0,,,,,גדליהו פוקס )הפועל חיפה( הורחק.,,"הפועל ת""א","מכבי ת""א",51,"[{""name"": ""גדליהו וקס ה ו ל חי ה הורחק."", ""minute"": null}]",[]
07-05-1938,1938/39,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,1,1,,,,,,שושן ?) (,"מכבי פ""ת","מכבי ת""א",51,[],"[{""name"": ""שושן"", ""minute"": null}]"
05-06-1938,1938/39,ליגת ההתאחדות,,הפועל חיפה,חוץ,,7,3,,,,,,,הפועל חיפה,"מכבי ת""א",51,[],[]
19-11-1938,1938/39,ליגת ההתאחדות,,"הכח ת""א",חוץ,,6,0,,,,,,"מילה גינזבורג ,(2) פרי נויפלד ,(2) אהרון סידי, ג'רי בית הלוי","הכח ת""א","מכבי ת""א",51,[],"[{""name"": ""מילה גינזבורג"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": null}]"
17-12-1938,1938/39,ליגת ההתאחדות,,"מכבי פ""ת",בית,,3,1,,,,,"פרי נויפלד )44פ, ,(85 אהרון סידי (71)",,"מכבי ת""א","מכבי פ""ת",52,"[{""name"": ""פרי נויפלד"", ""minute"": 44}, {""name"": ""אהרון סידי"", ""minute"": 71}]",[]
13-01-1939,1938/39,ליגת ההתאחדות,,"הפועל ת""א",בית,,2,2,,,,,"סימון אלמביק ,(23) פרי נויפלד (90)","הרברט מייטנר ,13) 26 (","מכבי ת""א","הפועל ת""א",52,"[{""name"": ""סימון אלמביק"", ""minute"": null}, {""name"": ""פרי נויפלד"", ""minute"": 90}]","[{""name"": ""הרברט מייטנר"", ""minute"": null}]"
22-10-1938,1938/39,ליגה ב',,"הכח ת""א",בית,,4,2,,,,,"גאול מכליס ,13) ,? ,(? ג'רי בית הלוי (39)","פאול קסטנבאום )73פ, 75 (","מכבי ת""א","הכח ת""א",57,"[{""name"": ""גאול מכליס"", ""minute"": null}, {""name"": ""גרי בית הלוי"", ""minute"": 39}]","[{""name"": ""אול קסטנבאום"", ""minute"": 73}]"
05-11-1938,1938/39,ליגה ב',,"מכבי פ""ת",חוץ,,2,0,,,,,)הופסק (,אהרון סידי 2] [,"מכבי פ""ת","מכבי ת""א",57,[],"[{""name"": ""אהרון סידי"", ""minute"": 2}]"
10-12-1938,1938/39,ליגה ב',,"הפועל ת""א",חוץ,,1,3,,,,,פרי נויפלד )09פ (,"אברהם פלמן )בוצ'קה( ,(43) אברהם נודלמן ,55) 65 (","הפועל ת""א","מכבי ת""א",57,"[{""name"": ""פרי נויפלד"", ""minute"": null}]","[{""name"": ""אברהם למן בוצקה"", ""minute"": null}, {""name"": ""אברהם נודלמן"", ""minute"": null}]"
25-02-1939,1939,ליגת ההתאחדות,,הפועל הרצליה,חוץ,,5,1,,,,,"פרי נויפלד ,20) ,(56 מילה גינזבורג ,48) ,(49 גאול מכליס (63)",יצחק בדריאן (33),הפועל הרצליה,"מכבי ת""א",60,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""מילה גינזבורג"", ""minute"": null}, {""name"": ""גאול מכליס"", ""minute"": 63}]","[{""name"": ""יצחק בדריאן"", ""minute"": 33}]"
18-03-1939,1939,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,3,2,,,,,"ג'רי בית הלוי ,3) ,(? אהרון סידי ?) (","מנחם צימט ,(50) וילי ברגר )09פ (","מכבי פ""ת","מכבי ת""א",60,"[{""name"": ""גרי בית הלוי"", ""minute"": null}, {""name"": ""אהרון סידי"", ""minute"": null}]","[{""name"": ""מנחם צימט"", ""minute"": null}, {""name"": ""וילי ברגר"", ""minute"": null}]"
01-04-1939,1939,ליגת ההתאחדות,,"הפועל ת""א",חוץ,,1,0,,,,,,גאול מכליס (5),"הפועל ת""א","מכבי ת""א",60,[],"[{""name"": ""גאול מכליס"", ""minute"": 5}]"
29-04-1939,1939,ליגת ההתאחדות,,"הכח ת""א",בית,,4,0,,,,,"פרי נויפלד ,41) ,72 ,(90 סימון אלמביק (82)",,"מכבי ת""א","הכח ת""א",60,"[{""name"": ""פרי נויפלד"", ""minute"": null}, {""name"": ""סימון אלמביק"", ""minute"": 82}]",[]
07-10-1939,1939,ליגת ההתאחדות,,מכבי נס ציונה,בית,,6,0,,,,,,,"מכבי ת""א",מכבי נס ציונה,60,[],[]
14-10-1939,1939,ליגת ההתאחדות,,הפועל הרצליה,בית,,3,0,,,,,,)טכני(,"מכבי ת""א",הפועל הרצליה,60,[],[]
21-10-1939,1939,ליגת ההתאחדות,,"הכח ת""א",חוץ,,1,1,,,,,גאול מכליס (25),מאיר פאליק (15),"הכח ת""א","מכבי ת""א",60,"[{""name"": ""גאול מכליס"", ""minute"": 25}]","[{""name"": ""מאיר אליק"", ""minute"": 15}]"
